attraction_id,name,country,province,city,price,rating,latitude,longitude,sentiment_y,popularity,normalized_popularity,sentiment_rating,popularity_rating,price_level
2175,squamish_cheakamus_white-water_rafting_from_whistler,canada,british_columbia,squamish,2,5.0,49.749151,-123.133378,0.4062279942279942,10,-0.2608530345051553,Good,Not Popular,$$
2176,squamish_elaho_white-water_rafting_from_vancouver,canada,british_columbia,squamish,2,5.0,49.749151,-123.133378,0.4063265306122449,7,-0.3147663794774394,Good,Not Popular,$$
2178,vancouver_to_victoria_whale_watching_with_return_to_vancouver_by_seaplane,canada,british_columbia,vancouver,5,4.5,49.284751,-123.1394811,0.2777777777777778,1,-0.42259306942200764,OK,Not Popular,$$$$$
2179,half-day_canoe_trip_on_the_takihini_river,canada,yukon,whitehorse,2,5.0,60.8151378,-135.2986155,0.4866666666666667,1,-0.42259306942200764,Very Good,Not Popular,$$
2180,overnight_camping_and_river-rafting_trip_in_squamish,canada,british_columbia,squamish,4,5.0,49.749151,-123.133378,0.5271803350970018,4,-0.3686797244497235,Very Good,Not Popular,$$$$
2181,whale-watching_marine_wildlife_excursion_by_zodiac_boat,canada,newfoundland_and_labrador,things_to_do_in_trinity,1,4.5,48.368514,-53.357835,0.3454403659611993,12,-0.22491080452363257,OK,Not Popular,$
2184,cowichan_river_tubing_rental,canada,british_columbia,vancouver_island,1,4.5,48.823995,-124.058572,0.3149830420000875,11,-0.24288191951439395,OK,Not Popular,$
2185,half-day_ice_fishing,canada,british_columbia,whistler,2,5.0,50.322224,-122.807193,0.5260119047619047,4,-0.3686797244497235,Very Good,Not Popular,$$
2186,english_bay_jet_ski_tour_from_vancouver_with_dinner_on_bowen_island,canada,british_columbia,vancouver,2,5.0,49.27173,-123.1366559,0.4453333333333334,5,-0.35070860945896215,Good,Not Popular,$$
2187,vancouver_jet_ski_rental,canada,british_columbia,vancouver,2,4.5,49.27173,-123.1366559,0.41469444444444453,5,-0.35070860945896215,Good,Not Popular,$$
2188,english_bay_jet_ski_tour_from_vancouver,canada,british_columbia,vancouver,2,5.0,49.27173,-123.1366559,0.4121835703978561,15,-0.17099745955134846,Good,Popular,$$
2189,victoria_harbour_sunset_kayak_tour,canada,british_columbia,vancouver_island,1,5.0,48.4293288,-123.369743,0.5621428571428572,2,-0.40462195443124627,Very Good,Not Popular,$
2190,half-day_whitewater_rafting_in_revelstoke,canada,british_columbia,things_to_do_in_revelstoke,2,5.0,50.9984591,-118.194305,0.38037120101703437,74,0.49393379510682217,Good,Very Popular,$$
2192,sunwapta_river_self-drive_rafting_trip,canada,alberta,canadian_rockies,2,5.0,52.8751383,-118.0807898,0.27376543209876547,2,-0.40462195443124627,OK,Not Popular,$$
2195,whistler_half-day_spin_fishing,canada,british_columbia,whistler,2,5.0,50.322224,-122.807193,0.6214285714285716,1,-0.42259306942200764,Very Good,Not Popular,$$
2196,victoria_harbour_kayak_tour,canada,british_columbia,vancouver_island,1,5.0,48.4293288,-123.369743,0.4297142857142857,5,-0.35070860945896215,Good,Not Popular,$
2197,victoria_harbour_stand-up_paddleboard_tour,canada,british_columbia,vancouver_island,1,5.0,48.4293288,-123.369743,0.4080357142857143,2,-0.40462195443124627,Good,Not Popular,$
2200,brentwood_bay_guided_kayak_tours,canada,british_columbia,vancouver_island,1,5.0,48.578083,-123.466695,0.4600000000000001,1,-0.42259306942200764,Very Good,Not Popular,$
2202,brentwood_bay_kayak_tour_and_butchart_gardens_visit,canada,british_columbia,vancouver_island,2,5.0,48.578083,-123.466695,0.3958333333333333,1,-0.42259306942200764,Good,Not Popular,$$
2206,sunset_nature_kayak_tour_in_vancouver,canada,british_columbia,vancouver,2,5.0,49.27213,-123.1365785,0.25733333333333336,4,-0.3686797244497235,OK,Not Popular,$$
2207,whale-watching_cruise_from_victoria_to_vancouver,canada,british_columbia,vancouver_island,3,5.0,48.4227209,-123.3689786,0.5314285714285715,4,-0.3686797244497235,Very Good,Not Popular,$$$
2209,turkey_point_flyboard_rental,canada,ontario,niagara_falls,2,4.5,42.6662324,-80.330133,0.31782682980599647,4,-0.3686797244497235,OK,Not Popular,$$
2211,whistler_full-day_fly_fishing,canada,british_columbia,whistler,3,5.0,50.322224,-122.807193,0.3125,2,-0.40462195443124627,OK,Not Popular,$$$
